,participant,multi_color,date,Delta
0,663,Monochrome,2021-10-31 12:22:20.307,1503.475925809098
1,710,Multichrome,2021-10-22 11:46:11.233,-204.39659329140522
2,3542,Multichrome,2021-11-13 21:21:51.162,114.89730639730647
3,4227,Monochrome,2021-10-25 12:34:12.784,155.6920782726054
4,4283,Monochrome,2021-10-24 15:09:26.134,111.8611225658658
5,7341,Monochrome,2021-11-06 11:23:21.864,-232.9316228070179
6,7661,Monochrome,2021-11-03 16:48:07.369,-57.09659938741845
7,7902,Multichrome,2021-11-07 18:46:51.865,-183.43393617021275
8,7971,Monochrome,2021-11-01 08:42:29.224,-234.0191897654572
9,8112,Multichrome,2021-10-22 18:45:44.549,122.15802609188927
10,9477,Monochrome,2021-10-26 11:16:50.732,284.2413812464911
11,9505,Monochrome,2021-10-25 22:59:10.204,547.9134048896833
12,9577,Monochrome,2021-10-30 23:02:32.204,2180.7181310679607
13,9604,Multichrome,2021-10-22 14:31:09.977,600.1844135915244
14,9931,Monochrome,2021-10-26 17:36:26.843,-27.187176101666864
15,9984,Multichrome,2021-10-24 11:08:25.237,-61.99641025641074
16,10078,Multichrome,2021-10-27 23:15:39.113,-7.385657894736937
17,10339,Monochrome,2021-10-21 22:38:25.475,-71.29958592132539
18,10347,Monochrome,2021-11-09 14:32:29.378,1996.6247706422018
19,10445,Monochrome,2021-10-23 12:53:36.581,1007.1410538063888
20,10485,Monochrome,2021-11-03 22:20:44.397,1086.8633940062523
21,10510,Multichrome,2021-10-23 20:27:02.292,457.7260590500648
22,10519,Monochrome,2021-10-23 12:47:19.939,926.6737931394018
23,10528,Multichrome,2021-11-05 09:27:04.282,1342.6510254306809
24,10539,Monochrome,2021-10-28 11:28:03.374,86.4860655737707
25,10574,Multichrome,2021-10-23 19:11:40.035,-62.055515370705336
26,10576,Multichrome,2021-11-01 23:55:16.211,616.3729441200999
27,10616,Multichrome,2021-11-09 15:26:57.066,278.67656534528555
28,10678,Multichrome,2021-10-28 20:51:48.849,32.62840670859532
29,10708,Multichrome,2021-10-29 14:23:17.795,984.283952290592
30,10767,Monochrome,2021-11-07 23:13:19.375,88.90616413916223
31,10834,Multichrome,2021-10-22 17:55:42.269,1385.5295093737514
32,10840,Multichrome,2021-10-27 22:41:36.343,-42.03003831417641
33,10887,Monochrome,2021-10-31 13:48:55.693,1245.3789442334887
34,10925,Monochrome,2021-11-07 16:01:19.478,226.30416666666702
35,10971,Monochrome,2021-11-05 10:00:36.124,40.583781561948854
36,10973,Monochrome,2021-11-08 18:58:16.411,-211.13443732193764
37,10976,Multichrome,2021-10-23 15:11:51.292,-344.5110677337493
38,10977,Monochrome,2021-11-03 21:04:13.275,413.6701782583293
39,10980,Multichrome,2021-11-08 21:03:41.520,194.01311645450255
40,10989,Monochrome,2021-10-23 10:37:30.789,760.5265182186245
41,10990,Multichrome,2021-10-22 15:06:18.665,1450.5412317489881
42,10991,Monochrome,2021-10-28 14:12:39.927,-117.61086956521672
43,11002,Multichrome,2021-10-31 10:56:29.737,2371.771740994854
44,11011,Monochrome,2021-10-31 19:29:02.378,193.09154911843132
45,11012,Multichrome,2021-10-31 17:47:34.070,486.198484848484
46,11014,Multichrome,2021-11-03 16:09:58.065,-45.23066451990678
47,11016,Multichrome,2021-11-07 11:53:37.115,376.67930756302303
48,11020,Multichrome,2021-11-01 13:23:17.408,-495.673669467787
49,11025,Monochrome,2021-10-27 19:30:34.125,486.84374355802925
50,11028,Multichrome,2021-11-03 09:19:44.366,914.951931008623
51,11029,Monochrome,2021-11-06 20:21:32.959,23.92990243902466
52,11030,Multichrome,2021-10-27 17:51:31.060,478.3203256302513
53,11031,Monochrome,2021-11-13 14:19:48.481,69.54996549344412
54,11035,Monochrome,2021-10-27 10:37:40.840,88.06704591629432
55,11041,Monochrome,2021-11-07 20:36:42.525,1295.8034491803273
56,11044,Multichrome,2021-10-30 20:43:38.434,107.59837487781033
57,11045,Monochrome,2021-11-10 10:36:06.997,631.6792248062002
58,11055,Monochrome,2021-11-09 11:29:25.568,-53.3482474226804
59,11059,Monochrome,2021-10-26 18:36:11.023,-220.9880447085452
60,11060,Multichrome,2021-11-03 21:16:18.498,944.407751611998
61,11061,Monochrome,2021-11-13 10:29:17.096,1084.458790839695
62,11069,Monochrome,2021-10-27 18:59:17.928,1431.9486941506602
63,11070,Multichrome,2021-11-08 20:24:15.310,-23.22383384405839
64,11071,Monochrome,2021-10-31 13:16:46.603,122.40520239880084
65,11073,Monochrome,2021-11-12 21:28:07.159,33.00145875251516
66,11076,Multichrome,2021-11-03 11:59:51.576,96.38981531913169
67,11077,Monochrome,2021-11-01 20:23:54.545,56.352949517867444
68,11084,Multichrome,2021-11-12 16:30:53.181,995.0834591195003
69,11085,Monochrome,2021-11-04 17:38:58.498,-36.72768817204286
70,11100,Multichrome,2021-11-10 11:32:59.962,798.5806650246298
71,11108,Multichrome,2021-11-04 11:28:55.157,659.2533980582521
72,11110,Multichrome,2021-10-28 17:19:14.861,50.82572302315435
73,11111,Monochrome,2021-10-30 16:49:21.000,22.194751454256675
74,11118,Multichrome,2021-11-13 18:22:08.958,2.1099064171121427
