,multi_color,participant,abs_rotation,mean_rotation_rt
0,Monochrome,663,90,1360.8687022900776
1,Monochrome,663,180,2864.344628099177
2,Monochrome,4227,90,1395.4123076923113
3,Monochrome,4227,180,1551.1043859649153
4,Monochrome,4283,90,1439.5144329896937
5,Monochrome,4283,180,1551.3755555555606
6,Monochrome,7341,90,1407.2657894736888
7,Monochrome,7341,180,1174.3341666666674
8,Monochrome,7661,90,604.7386554621862
9,Monochrome,7661,180,547.642056074766
10,Monochrome,7971,90,1315.8477611940275
11,Monochrome,7971,180,1081.8285714285737
12,Monochrome,9477,90,704.4970802919707
13,Monochrome,9477,180,988.7384615384633
14,Monochrome,9505,90,1262.2292307692323
15,Monochrome,9505,180,1810.1426356589127
16,Monochrome,9577,90,2701.127500000002
17,Monochrome,9577,180,4881.845631067979
18,Monochrome,9931,90,394.8835616438368
19,Monochrome,9931,180,367.6963855421692
20,Monochrome,10339,90,580.7202380952372
21,Monochrome,10339,180,509.42065217391195
22,Monochrome,10347,90,5041.875229357783
23,Monochrome,10347,180,7038.5
24,Monochrome,10445,90,3062.9909774436214
25,Monochrome,10445,180,4070.132031249998
26,Monochrome,10485,90,2925.5855855855793
27,Monochrome,10485,180,4012.4489795918353
28,Monochrome,10519,90,1813.9427536231833
29,Monochrome,10519,180,2740.6165467625847
30,Monochrome,10539,90,1674.3639344262256
31,Monochrome,10539,180,1760.850000000004
32,Monochrome,10767,90,1014.990677966099
33,Monochrome,10767,180,1103.8968421052589
34,Monochrome,10887,90,2382.4747747747683
35,Monochrome,10887,180,3627.853719008269
36,Monochrome,10925,90,1618.3291666666644
37,Monochrome,10925,180,1844.6333333333318
38,Monochrome,10971,90,1715.6246153846148
39,Monochrome,10971,180,1756.2083969465687
40,Monochrome,10973,90,1748.5296296296292
41,Monochrome,10973,180,1537.395192307689
42,Monochrome,10977,90,1724.920338983058
43,Monochrome,10977,180,2138.5905172413854
44,Monochrome,10989,90,3714.615789473692
45,Monochrome,10989,180,4475.142307692315
46,Monochrome,10991,90,1995.2608695652189
47,Monochrome,10991,180,1877.649999999997
48,Monochrome,11011,90,603.1274509215687
49,Monochrome,11011,180,796.2190000400004
50,Monochrome,11025,90,1577.6868686868695
51,Monochrome,11025,180,2064.5306122449047
52,Monochrome,11029,90,748.0139999999989
53,Monochrome,11029,180,771.9439024390263
54,Monochrome,11031,90,783.3587301587283
55,Monochrome,11031,180,852.9086956521758
56,Monochrome,11035,90,946.521739130433
57,Monochrome,11035,180,1034.5887850467288
58,Monochrome,11041,90,2083.073600000003
59,Monochrome,11041,180,3378.8770491803293
60,Monochrome,11045,90,2921.6341085271392
61,Monochrome,11045,180,3553.3133333333412
62,Monochrome,11055,90,485.6082474226796
63,Monochrome,11055,180,432.26000000000056
64,Monochrome,11059,90,2032.1862903225763
65,Monochrome,11059,180,1811.198245614038
66,Monochrome,11061,90,1376.874809160305
67,Monochrome,11061,180,2461.333600000007
68,Monochrome,11069,90,2568.490243902435
69,Monochrome,11069,180,4000.438938053093
70,Monochrome,11071,90,641.1982758620711
71,Monochrome,11071,180,763.6034782608664
72,Monochrome,11073,90,234.04642857142895
73,Monochrome,11073,180,267.0478873239437
74,Monochrome,11077,90,345.2365853658539
75,Monochrome,11077,180,401.5895348837217
76,Monochrome,11085,90,272.8083333333337
77,Monochrome,11085,180,236.08064516129076
78,Monochrome,11111,90,1347.5754098360683
79,Monochrome,11111,180,1369.770161290325
80,Multichrome,710,90,1689.716037735844
81,Multichrome,710,180,1485.3194444444403
82,Multichrome,3542,90,1050.0925925925937
83,Multichrome,3542,180,1164.9898989898993
84,Multichrome,7902,90,601.698936170214
85,Multichrome,7902,180,418.26499999999953
86,Multichrome,8112,90,1251.506201550391
87,Multichrome,8112,180,1373.6642276422735
88,Multichrome,9604,90,3303.988695652169
89,Multichrome,9604,180,3904.1731092436894
90,Multichrome,9984,90,912.5066666666678
91,Multichrome,9984,180,850.5102564102563
92,Multichrome,10078,90,299.2231578947372
93,Multichrome,10078,180,291.8375000000008
94,Multichrome,10510,90,1584.110526315787
95,Multichrome,10510,180,2041.8365853658552
96,Multichrome,10528,90,2714.7924528301824
97,Multichrome,10528,180,4057.4434782608782
98,Multichrome,10574,90,247.41265822784777
99,Multichrome,10574,180,185.35714285714235
100,Multichrome,10576,90,1347.950909090907
101,Multichrome,10576,180,1964.3238532110113
102,Multichrome,10616,90,1752.1115702479376
103,Multichrome,10616,180,2030.7881355932268
104,Multichrome,10678,90,658.5055555555577
105,Multichrome,10678,180,691.1339622641525
106,Multichrome,10708,90,2450.858064516135
107,Multichrome,10708,180,3435.1420168067125
108,Multichrome,10834,90,4431.884403669737
109,Multichrome,10834,180,5817.413913043476
110,Multichrome,10840,90,772.9011494252886
111,Multichrome,10840,180,730.8711111111087
112,Multichrome,10976,90,2026.4404255319128
113,Multichrome,10976,180,1681.9293577981607
114,Multichrome,10980,90,1165.3306930693038
115,Multichrome,10980,180,1359.3438095238137
116,Multichrome,10990,90,3732.3353448275748
117,Multichrome,10990,180,5182.876576576583
118,Multichrome,11002,90,3475.539622641515
119,Multichrome,11002,180,5847.311363636372
120,Multichrome,11012,90,1947.0499999999947
121,Multichrome,11012,180,2433.248484848479
122,Multichrome,11014,90,597.8565573770479
123,Multichrome,11014,180,552.625892857143
124,Multichrome,11016,90,3218.531092436981
125,Multichrome,11016,180,3595.2103999999936
126,Multichrome,11020,90,4227.761904761897
127,Multichrome,11020,180,3732.0882352941085
128,Multichrome,11028,90,3555.943307086606
129,Multichrome,11028,180,4470.895238095235
130,Multichrome,11030,90,3288.625210084025
131,Multichrome,11030,180,3766.9455357142756
132,Multichrome,11044,90,627.9913978494601
133,Multichrome,11044,180,735.5897727272713
134,Multichrome,11060,90,1865.0284552845474
135,Multichrome,11060,180,2809.436206896555
136,Multichrome,11070,90,614.4878787878799
137,Multichrome,11070,180,591.264044943819
138,Multichrome,11076,90,587.9886792830207
139,Multichrome,11076,180,684.3784946021489
140,Multichrome,11084,90,4038.063207547177
141,Multichrome,11084,180,5033.146666666684
142,Multichrome,11100,90,1469.6336206896528
143,Multichrome,11100,180,2268.214285714283
144,Multichrome,11108,90,1104.9077669902936
145,Multichrome,11108,180,1764.1611650485431
146,Multichrome,11110,90,329.77522935779893
147,Multichrome,11110,180,380.60095238095323
148,Multichrome,11118,90,446.48068181818223
149,Multichrome,11118,180,448.5905882352949
