,participant,multi_color,date,Delta
0,0,Multichrome,2022-09-18 15:10:08.218,145.46854961832128
1,1,Monochrome,2022-09-18 16:55:09.094,541.4835004988706
2,2,Multichrome,2022-03-03 13:33:38.762,307.3192054263561
3,3,Monochrome,2022-03-03 13:26:13.730,18.069703816793208
4,4,Multichrome,2022-09-18 20:00:22.777,127.20539395245282
5,5,Monochrome,2022-09-18 21:09:39.902,171.71603458556967
6,6,Multichrome,2022-03-03 13:33:24.991,441.19529190207186
7,7,Multichrome,2022-03-22 01:28:34.745,663.4656940859618
8,8,Monochrome,2022-03-22 10:49:36.992,234.21022130532674
9,9,Monochrome,2022-03-22 07:27:37.438,45.84062099416042
10,10,Multichrome,2022-03-03 13:56:22.892,-19.792785204175175
11,11,Multichrome,2022-03-03 13:27:17.704,436.3919068736143
12,12,Multichrome,2022-03-03 12:32:43.286,431.96917725347885
13,13,Monochrome,2022-03-03 13:29:33.328,321.9300275482092
14,14,Multichrome,2022-03-22 09:25:47.467,1088.651435547696
15,15,Multichrome,2022-03-03 13:28:34.126,886.3058448229249
16,16,Multichrome,2022-03-03 14:27:17.970,-112.27682578539316
17,18,Multichrome,2022-03-03 12:28:23.706,644.7915584415578
18,19,Multichrome,2022-03-03 13:30:25.956,-48.71788783355953
19,20,Multichrome,2022-03-03 14:21:21.231,41.08170168067238
20,21,Monochrome,2022-09-18 20:05:59.895,584.6928314631227
21,22,Monochrome,2022-09-18 19:39:17.023,438.76788321167874
22,23,Monochrome,2022-03-22 08:25:42.732,-50.04140625000025
23,24,Multichrome,2022-03-03 13:50:00.697,995.0627631439752
24,25,Multichrome,2022-03-22 08:25:54.787,822.0721123509056
25,27,Multichrome,2022-03-03 14:09:26.639,96.47496033005473
26,28,Monochrome,2022-09-18 14:25:28.330,11.4390631049165
27,29,Monochrome,2022-09-18 15:27:25.659,933.6173179902003
28,31,Monochrome,2022-09-18 21:32:03.974,52.22466707021772
29,32,Multichrome,2022-03-03 12:26:29.272,35.92183550100742
30,33,Multichrome,2022-03-03 14:43:39.269,285.8739702479329
31,34,Monochrome,2022-03-01 10:47:04.566,955.8098272599655
32,35,Multichrome,2022-03-22 09:28:52.849,8.188518518518322
33,36,Monochrome,2022-09-18 15:29:50.814,-66.33345075193074
34,37,Monochrome,2022-09-18 19:56:38.834,50.91491314323139
35,38,Monochrome,2022-03-03 12:26:05.093,-133.7776208814721
36,39,Multichrome,2022-09-18 15:37:29.990,1274.2277180639694
37,40,Monochrome,2022-03-03 14:30:47.011,-173.18431863205114
38,41,Monochrome,2022-03-03 12:28:25.451,51.69258021390351
39,42,Monochrome,2022-09-18 20:14:00.785,1281.2371751097478
40,43,Monochrome,2022-03-03 13:50:57.801,730.4260713168578
41,44,Multichrome,2022-03-22 08:31:47.994,-52.60644986449904
42,45,Multichrome,2022-03-01 11:49:08.150,258.51273344652
43,46,Multichrome,2022-03-03 13:46:07.897,190.4272529441896
44,47,Multichrome,2022-03-03 13:38:20.252,75.60027976919082
45,48,Monochrome,2022-10-04 12:17:54.039,-3.868947406287589
46,49,Monochrome,2022-09-18 20:35:36.747,0.34637681159412637
47,50,Monochrome,2022-03-03 13:26:13.379,1307.3808861962461
48,51,Multichrome,2022-03-22 08:31:31.542,-0.3705035971223083
49,52,Monochrome,2022-09-18 20:53:21.561,-8.694807875515863
50,53,Monochrome,2022-03-03 13:23:23.489,-19.50759999999991
51,55,Monochrome,2022-03-22 01:28:37.139,1131.4966902130577
52,56,Monochrome,2022-03-03 13:26:15.731,134.4515630252099
53,57,Monochrome,2022-10-04 13:18:31.756,208.0043650793657
54,58,Multichrome,2022-03-22 10:35:22.347,132.10182420296496
55,59,Multichrome,2022-09-18 08:45:58.689,595.9496185719777
56,60,Monochrome,2022-03-22 08:33:33.574,-8.4460431654677
57,61,Monochrome,2022-09-18 15:25:08.687,-532.7761955545576
58,62,Multichrome,2022-09-18 07:31:57.039,30.696337021991894
59,63,Multichrome,2022-03-03 13:28:46.956,837.9236582501462
60,64,Multichrome,2022-03-03 14:26:56.038,730.3819117647065
61,65,Monochrome,2022-10-04 13:29:36.290,209.8310974846704
62,66,Monochrome,2022-03-22 18:28:30.974,434.044070403281
63,67,Monochrome,2022-03-03 13:32:56.321,604.4181246582837
64,68,Monochrome,2022-09-18 19:03:41.118,9.211551600143821
65,69,Monochrome,2022-03-03 13:29:27.565,713.9716460136933
66,70,Multichrome,2022-03-22 09:29:54.300,68.09766037735835
67,72,Monochrome,2022-03-22 09:26:29.899,63.628998778997584
68,73,Monochrome,2022-03-22 09:32:59.450,982.3716423357632
69,75,Monochrome,2022-03-22 10:17:54.635,1.8853472263336926
70,76,Multichrome,2022-03-03 14:28:41.815,81.17229344729361
71,77,Multichrome,2022-03-03 14:33:16.989,-82.43444098303905
72,78,Multichrome,2022-03-03 12:36:38.745,91.48353721444437
73,79,Monochrome,2022-03-03 14:46:12.242,168.9915477404013
74,80,Monochrome,2022-09-18 15:25:03.405,94.42875372689343
75,81,Multichrome,2022-03-03 12:26:16.073,70.89870879120883
76,83,Monochrome,2022-09-18 15:32:41.925,275.70608017218194
77,84,Multichrome,2022-03-03 15:05:44.910,251.6510354348825
78,85,Monochrome,2022-09-18 20:43:25.987,184.00660805131633
79,86,Multichrome,2022-03-22 08:25:43.143,70.96397070658304
80,87,Multichrome,2022-03-22 02:30:57.786,1817.2845528455287
81,88,Multichrome,2022-03-03 12:27:10.884,-188.26082555838184
82,89,Multichrome,2022-03-22 09:35:06.376,827.5359609609616
83,90,Monochrome,2022-03-03 12:31:29.652,119.43392997418914
84,91,Multichrome,2022-03-22 08:27:28.984,-85.32466255475151
85,92,Monochrome,2022-03-22 09:26:16.881,62.63970748604811
86,93,Monochrome,2022-03-03 13:29:26.705,31.68511009374319
87,94,Monochrome,2022-03-03 13:26:13.689,515.6607792560399
88,95,Multichrome,2022-03-03 14:27:36.794,680.9860005894488
89,96,Multichrome,2022-03-03 14:27:47.589,-236.13783098144972
90,97,Multichrome,2022-09-18 06:37:26.925,454.8807442956961
91,98,Multichrome,2022-03-22 09:27:13.050,748.9588868699097
92,99,Monochrome,2022-03-03 13:59:08.197,-28.116592838685392
93,100,Multichrome,2022-03-03 14:39:31.784,30.83325998282524
94,101,Multichrome,2022-03-03 14:36:42.572,584.1947398602861
95,103,Monochrome,2022-10-04 13:21:43.771,1016.31910889356
96,104,Multichrome,2022-03-03 13:28:59.678,400.9720705610173
97,105,Multichrome,2022-03-22 09:27:10.682,1.8179135008776939
98,106,Monochrome,2022-03-22 09:26:46.848,-12.39531328320868
99,107,Multichrome,2022-03-03 14:27:09.969,237.9411764705883
100,108,Multichrome,2022-03-22 01:26:36.853,591.6593053735255
101,109,Monochrome,2022-03-03 13:26:20.355,-1.3159574468084543
102,110,Monochrome,2022-03-01 12:49:29.236,1401.4623234811147
103,111,Multichrome,2022-03-22 09:27:18.040,78.89427095292785
104,113,Monochrome,2022-03-22 10:05:21.727,56.46191800998304
105,114,Monochrome,2022-03-01 12:48:29.188,433.5315158621602
