,multi_color,participant,abs_rotation,mean_rotation_rt
0,Monochrome,1,90,1181.7697841726588
1,Monochrome,1,180,1723.2532846715399
2,Monochrome,3,90,2066.944799999998
3,Monochrome,3,180,2085.014503816789
4,Monochrome,5,90,879.068461538464
5,Monochrome,5,180,1050.7844961240312
6,Monochrome,8,90,1710.7362903225855
7,Monochrome,8,180,1944.9465116279061
8,Monochrome,9,90,1179.9661016949126
9,Monochrome,9,180,1225.806722689073
10,Monochrome,13,90,1152.8666666666684
11,Monochrome,13,180,1474.7966942148719
12,Monochrome,21,90,1121.4131386861288
13,Monochrome,21,180,1706.1059701492504
14,Monochrome,22,90,955.8321167883225
15,Monochrome,22,180,1394.6000000000035
16,Monochrome,23,90,678.0289062499987
17,Monochrome,23,180,627.9875000000015
18,Monochrome,28,90,932.368253968252
19,Monochrome,28,180,943.8073170731687
20,Monochrome,29,90,1594.1931297709898
21,Monochrome,29,180,2527.8104477612014
22,Monochrome,31,90,686.4271186440699
23,Monochrome,31,180,738.6517857142866
24,Monochrome,34,90,2469.8661417322796
25,Monochrome,34,180,3425.6759689922446
26,Monochrome,36,90,1123.1809917355397
27,Monochrome,36,180,1056.8475409836092
28,Monochrome,37,90,696.4221238938045
29,Monochrome,37,180,747.3370370370384
30,Monochrome,38,90,868.439024390245
31,Monochrome,38,180,734.6614035087707
32,Monochrome,40,90,1509.2202898550686
33,Monochrome,40,180,1336.035971223025
34,Monochrome,41,90,764.6301470588226
35,Monochrome,41,180,816.3227272727246
36,Monochrome,42,90,1882.1929133858293
37,Monochrome,42,180,3163.4300884955865
38,Monochrome,43,90,2678.3760869565263
39,Monochrome,43,180,3408.8021582733927
40,Monochrome,48,90,1080.6308943089414
41,Monochrome,48,180,1076.7619469026565
42,Monochrome,49,90,238.58623188405844
43,Monochrome,49,180,238.93260869565262
44,Monochrome,50,90,1198.3355072463755
45,Monochrome,50,180,2505.7163934426294
46,Monochrome,52,90,240.20970149253773
47,Monochrome,52,180,231.5148936170219
48,Monochrome,53,90,1298.5576
49,Monochrome,53,180,1279.0499999999984
50,Monochrome,55,90,1217.3888059701503
51,Monochrome,55,180,2348.8854961832035
52,Monochrome,56,90,952.5559999999984
53,Monochrome,56,180,1087.007563025213
54,Monochrome,57,90,1444.4750000000035
55,Monochrome,57,180,1652.4793650793706
56,Monochrome,60,90,958.223021582732
57,Monochrome,60,180,949.7769784172677
58,Monochrome,61,90,1328.1725190839709
59,Monochrome,61,180,795.3963235294101
60,Monochrome,65,90,1258.3770992366453
61,Monochrome,65,180,1468.208196721309
62,Monochrome,66,90,1274.517293233078
63,Monochrome,66,180,1708.5613636363685
64,Monochrome,67,90,2046.725423728814
65,Monochrome,67,180,2651.1435483871014
