,multi_color,participant,90,180
0,Monochrome,1,1181.769784172662,1723.2532846715333
1,Monochrome,3,2066.9448,2085.014503816794
2,Monochrome,5,879.0684615384617,1050.7844961240319
3,Monochrome,8,1710.7362903225808,1944.9465116279082
4,Monochrome,9,1179.9661016949153,1225.8067226890757
5,Monochrome,13,1152.8666666666677,1474.7966942148764
6,Monochrome,21,1121.413138686131,1706.1059701492543
7,Monochrome,22,955.8321167883212,1394.6
8,Monochrome,23,678.0289062500001,627.9874999999997
9,Monochrome,28,932.3682539682542,943.8073170731707
10,Monochrome,29,1594.1931297709943,2527.8104477611937
11,Monochrome,31,686.4271186440675,738.651785714286
12,Monochrome,34,2469.8661417322855,3425.6759689922487
13,Monochrome,36,1123.1809917355374,1056.8475409836067
14,Monochrome,37,696.4221238938051,747.3370370370367
15,Monochrome,38,868.4390243902436,734.6614035087723
16,Monochrome,40,1509.2202898550715,1336.0359712230209
17,Monochrome,41,764.6301470588234,816.322727272727
18,Monochrome,42,1882.192913385827,3163.4300884955765
19,Monochrome,43,2678.3760869565217,3408.8021582733845
20,Monochrome,48,1080.6308943089434,1076.7619469026552
21,Monochrome,49,238.58623188405798,238.9326086956522
22,Monochrome,50,1198.3355072463776,2505.716393442623
23,Monochrome,52,240.20970149253716,231.51489361702136
24,Monochrome,53,1298.5576,1279.0500000000004
25,Monochrome,55,1217.3888059701496,2348.885496183206
26,Monochrome,56,952.5560000000005,1087.0075630252104
27,Monochrome,57,1444.4750000000004,1652.4793650793656
28,Monochrome,60,958.2230215827338,949.7769784172662
29,Monochrome,61,1328.172519083969,795.3963235294117
30,Monochrome,65,1258.377099236642,1468.208196721312
31,Monochrome,66,1274.5172932330825,1708.5613636363632
32,Monochrome,67,2046.725423728814,2651.143548387097
33,Monochrome,68,367.750485436893,376.9620370370369
34,Monochrome,69,1010.2802919708029,1724.2519379844964
35,Monochrome,72,1710.0436507936513,1773.6726495726489
36,Monochrome,73,2158.9233576642328,3141.2950000000014
37,Monochrome,75,937.4398496240601,939.3251968503939
38,Monochrome,79,1791.8871559633023,1960.8787037037048
39,Monochrome,80,889.8092307692308,984.2379844961237
40,Monochrome,83,947.0396825396825,1222.7457627118645
41,Monochrome,85,638.0189393939396,822.0255474452556
42,Monochrome,90,1199.453383458646,1318.8873134328353
43,Monochrome,92,601.5770992366411,664.2168067226892
44,Monochrome,93,199.92424242424246,231.60935251798557
45,Monochrome,94,1238.54094488189,1754.2017241379308
46,Monochrome,99,672.2697674418606,644.1531746031744
47,Monochrome,103,4215.931932773107,5232.251041666667
48,Monochrome,106,1302.8991228070172,1290.5038095238097
49,Monochrome,109,486.1,484.78404255319145
50,Monochrome,110,3130.8767241379305,4532.339047619046
51,Monochrome,113,1136.4776859504134,1192.9396039603967
52,Monochrome,114,3992.45503875969,4425.986554621851
53,Monochrome,116,1032.09696969697,1564.7764705882353
54,Monochrome,122,288.73823529411766,284.96116504854365
55,Monochrome,124,2085.157971014493,2799.794927536233
56,Monochrome,125,1295.2272727272727,1467.2627737226278
57,Monochrome,126,1114.658878504673,1128.0726415094346
58,Monochrome,127,1646.6733870967741,1765.1000000000006
59,Monochrome,128,1643.4911504424774,1472.0126984126985
60,Monochrome,129,521.5233333333334,448.1544776119402
61,Multichrome,0,1548.6114503816793,1694.0799999999997
62,Multichrome,2,1488.511627906977,1795.830833333334
63,Multichrome,4,1772.82905982906,1900.0344537815126
64,Multichrome,6,2062.9555555555557,2504.1508474576253
65,Multichrome,7,1431.6969924812029,2095.162686567164
66,Multichrome,10,849.8346456692917,830.0418604651157
67,Multichrome,11,1341.3560606060605,1777.7479674796748
68,Multichrome,12,1566.4931034482752,1998.4622807017545
69,Multichrome,14,1642.6009009008997,2731.252336448601
70,Multichrome,15,2933.0496296296287,3819.3554744525554
71,Multichrome,16,1036.0961240310078,923.8192982456144
72,Multichrome,18,1001.1227272727276,1645.9142857142858
73,Multichrome,19,955.1194029850747,906.4015151515151
74,Multichrome,20,559.7957983193276,600.8774999999998
75,Multichrome,24,2810.898550724637,3805.9613138686145
76,Multichrome,25,1695.7243478260873,2517.7964601769913
77,Multichrome,27,1592.769565217391,1689.2445255474452
78,Multichrome,32,465.7830188679244,501.7048543689319
79,Multichrome,33,1110.4376000000002,1396.3115702479338
80,Multichrome,35,664.2281481481488,672.4166666666665
81,Multichrome,39,2345.1798449612406,3619.40756302521
82,Multichrome,44,773.4755555555555,720.8691056910569
83,Multichrome,45,901.4451612903225,1159.9578947368418
84,Multichrome,46,3789.9830645161287,3980.410317460318
85,Multichrome,47,2186.6090225563908,2262.2093023255816
86,Multichrome,51,91.59856115107912,91.22805755395682
87,Multichrome,58,1062.9477941176478,1195.049618320611
88,Multichrome,59,1907.2255639097743,2503.175182481752
89,Multichrome,62,1048.4144067796608,1079.110743801653
90,Multichrome,63,1267.6755725190842,2105.599230769231
91,Multichrome,64,2014.3580882352933,2744.740000000001
92,Multichrome,70,1329.2579999999996,1397.3556603773586
93,Multichrome,76,411.87307692307684,493.0453703703702
94,Multichrome,77,965.7148148148148,883.2803738317755
95,Multichrome,78,1085.2808695652172,1176.7644067796614
96,Multichrome,81,653.5355769230772,724.434285714286
97,Multichrome,84,1348.1829268292684,1599.8339622641504
98,Multichrome,86,531.1614678899081,602.1254385964911
99,Multichrome,87,2929.7154471544713,4747.0
100,Multichrome,88,2527.0829629629643,2338.8221374045784
101,Multichrome,89,1991.8694444444448,2819.4054054054063
102,Multichrome,91,1271.9327433628318,1186.6080808080803
103,Multichrome,95,1612.3760683760684,2293.362068965517
104,Multichrome,96,2001.045378151259,1764.9075471698113
105,Multichrome,97,1487.3093457943917,1942.190090090089
106,Multichrome,98,1293.1889763779532,2042.1478632478631
107,Multichrome,100,231.52335766423357,262.3566176470589
108,Multichrome,101,1888.2311594202895,2472.4258992805762
109,Multichrome,104,1271.556390977444,1672.528461538462
110,Multichrome,105,1595.4889830508478,1597.3068965517234
111,Multichrome,107,2862.378151260504,3100.3193277310925
112,Multichrome,108,1441.2214285714285,2032.8807339449538
113,Multichrome,111,2261.338805970148,2340.2330769230757
114,Multichrome,115,1902.5438461538458,2024.1928571428573
115,Multichrome,117,608.2154545454542,935.6018018018019
116,Multichrome,118,2177.875806451613,2398.146564885496
117,Multichrome,121,1062.2170731707315,1302.54375
118,Multichrome,123,2637.8596899224813,2787.227007299271
