,PROLIFIC_PID,multi_color,date,Delta
0,0,Multichrome,2022-09-18 15:10:08.218,63.911111111111495
1,1,Monochrome,2022-09-18 16:55:09.094,586.1633828703457
2,2,Multichrome,2022-03-03 13:33:38.762,307.2368352956396
3,3,Monochrome,2022-03-03 13:26:13.730,-27.60693179019904
4,4,Multichrome,2022-09-18 20:00:22.777,157.43474576271228
5,5,Monochrome,2022-09-18 21:09:39.902,202.38565112053288
6,6,Multichrome,2022-03-03 13:33:24.991,398.3152695652186
7,7,Multichrome,2022-03-22 01:28:34.745,656.4587141217003
8,8,Monochrome,2022-03-22 10:49:36.992,149.9171174603175
9,9,Monochrome,2022-03-22 07:27:37.438,42.15790960451977
10,10,Multichrome,2022-03-03 13:56:22.892,-22.83540942928039
11,11,Multichrome,2022-03-03 13:27:17.704,422.3782335550627
12,12,Multichrome,2022-03-03 12:32:43.286,442.55910131217547
13,13,Monochrome,2022-03-03 13:29:33.328,270.4602966101693
14,14,Multichrome,2022-03-22 09:25:47.467,1157.4403346203337
15,15,Multichrome,2022-03-03 13:28:34.126,935.5413779956416
16,16,Multichrome,2022-03-03 14:27:17.970,-125.58657933245058
17,18,Multichrome,2022-03-03 12:28:23.706,728.8906337089549
18,19,Multichrome,2022-03-03 13:30:25.956,7.981203007518843
19,20,Multichrome,2022-03-03 14:21:21.231,4.228689492325998
20,21,Monochrome,2022-09-18 20:05:59.895,502.4138669301717
21,22,Monochrome,2022-09-18 19:39:17.023,428.6216141514649
22,23,Monochrome,2022-03-22 08:25:42.732,-32.411309523809905
23,24,Multichrome,2022-03-03 13:50:00.697,1065.409758454106
24,25,Multichrome,2022-03-22 08:25:54.787,769.0006583072106
25,27,Multichrome,2022-03-03 14:09:26.639,109.89380098754782
26,28,Monochrome,2022-09-18 14:25:28.330,13.330273937531729
27,29,Monochrome,2022-09-18 15:27:25.659,955.3340909090934
28,31,Monochrome,2022-09-18 21:32:03.974,80.68029275808908
29,32,Multichrome,2022-03-03 12:26:29.272,32.32228342046312
30,33,Multichrome,2022-03-03 14:43:39.269,350.57343604108246
31,34,Monochrome,2022-03-01 10:47:04.566,991.1196850393703
32,35,Multichrome,2022-03-22 09:28:52.849,38.32279411764739
33,36,Monochrome,2022-09-18 15:29:50.814,-81.48587693141803
34,37,Monochrome,2022-09-18 19:56:38.834,46.5076452599385
35,38,Monochrome,2022-03-03 12:26:05.093,-83.87794075352292
36,39,Multichrome,2022-09-18 15:37:29.990,1281.0626017848995
37,40,Monochrome,2022-03-03 14:30:47.011,-170.39237727465024
38,41,Monochrome,2022-03-03 12:28:25.451,169.6593097643098
39,42,Monochrome,2022-09-18 20:14:00.785,1266.6970342522961
40,43,Monochrome,2022-03-03 13:50:57.801,722.0553438276702
41,44,Multichrome,2022-03-22 08:31:47.994,-35.7280645950575
42,45,Multichrome,2022-03-01 11:49:08.150,272.2343101565348
43,46,Multichrome,2022-03-03 13:46:07.897,259.0058163934418
44,47,Multichrome,2022-03-03 13:38:20.252,149.24968182344082
45,48,Monochrome,2022-10-04 12:17:54.039,56.892529498525846
46,49,Monochrome,2022-09-18 20:35:36.747,-0.007391304347891037
47,50,Monochrome,2022-03-03 13:26:13.379,1345.0221882494006
48,51,Multichrome,2022-03-22 08:31:31.542,-1.1710144927535708
49,52,Monochrome,2022-09-18 20:53:21.561,10.133301364024106
50,53,Monochrome,2022-03-03 13:23:23.489,-55.082868857710764
51,55,Monochrome,2022-03-22 01:28:37.139,1151.0906837606838
52,56,Monochrome,2022-03-03 13:26:15.731,135.8182351372974
53,57,Monochrome,2022-10-04 13:18:31.756,138.11098901098944
54,58,Multichrome,2022-03-22 10:35:22.347,131.86614645179634
55,59,Multichrome,2022-09-18 08:45:58.689,637.3684210526317
56,60,Monochrome,2022-03-22 08:33:33.574,-27.293139401522353
57,61,Monochrome,2022-09-18 15:25:08.687,-569.0030937675468
58,62,Multichrome,2022-09-18 07:31:57.039,72.12567379827715
59,63,Multichrome,2022-03-03 13:28:46.956,905.1530655391105
60,64,Multichrome,2022-03-03 14:26:56.038,718.9458805970146
61,65,Monochrome,2022-10-04 13:29:36.290,269.28415130324174
62,66,Monochrome,2022-03-22 18:28:30.974,465.9426616915425
63,67,Monochrome,2022-03-03 13:32:56.321,618.9111360448801
64,68,Monochrome,2022-09-18 19:03:41.118,0.8804551178267843
65,69,Monochrome,2022-03-03 13:29:27.565,704.5238480839427
66,70,Multichrome,2022-03-22 09:29:54.300,78.36848739495781
67,72,Monochrome,2022-03-22 09:26:29.899,67.2556923918994
68,73,Monochrome,2022-03-22 09:32:59.450,1035.4321164021144
69,75,Monochrome,2022-03-22 10:17:54.635,8.607104375111248
70,76,Multichrome,2022-03-03 14:28:41.815,68.44888388838865
71,77,Multichrome,2022-03-03 14:33:16.989,-94.44487135505995
72,78,Multichrome,2022-03-03 12:36:38.745,106.52586206896535
73,79,Monochrome,2022-03-03 14:46:12.242,65.12885301614233
74,80,Monochrome,2022-09-18 15:25:03.405,93.59429086538478
75,81,Multichrome,2022-03-03 12:26:16.073,-76.09337912087892
76,83,Monochrome,2022-09-18 15:32:41.925,286.78924369747904
77,84,Multichrome,2022-03-03 15:05:44.910,256.5835772357718
78,85,Monochrome,2022-09-18 20:43:25.987,244.76876934984546
79,86,Multichrome,2022-03-22 08:25:43.143,93.43371962015146
80,87,Multichrome,2022-03-22 02:30:57.786,1849.674075531078
81,88,Multichrome,2022-03-03 12:27:10.884,-196.61230769230633
82,89,Multichrome,2022-03-22 09:35:06.376,858.8192929292936
83,90,Monochrome,2022-03-03 12:31:29.652,167.0968662532241
84,91,Multichrome,2022-03-22 08:27:28.984,-95.91961204970085
85,92,Monochrome,2022-03-22 09:26:16.881,84.28014631043277
86,93,Monochrome,2022-03-03 13:29:26.705,32.786671715259416
87,94,Monochrome,2022-03-03 13:26:13.689,515.8509157509145
88,95,Multichrome,2022-03-03 14:27:36.794,700.6465517241379
89,96,Multichrome,2022-03-03 14:27:47.589,-250.09851892919437
90,97,Multichrome,2022-09-18 06:37:26.925,407.76449463482163
91,98,Multichrome,2022-03-22 09:27:13.050,670.024084051724
92,99,Monochrome,2022-03-03 13:59:08.197,-24.792968749999545
93,100,Multichrome,2022-03-03 14:39:31.784,40.088235294117396
94,101,Multichrome,2022-03-03 14:36:42.572,567.4009924906788
95,103,Monochrome,2022-10-04 13:21:43.771,1035.8580893410017
96,104,Multichrome,2022-03-03 13:28:59.678,393.2058611094658
97,105,Multichrome,2022-03-22 09:27:10.682,52.53365927857499
98,106,Monochrome,2022-03-22 09:26:46.848,-7.455869814723883
99,107,Multichrome,2022-03-03 14:27:09.969,266.59863267340825
100,108,Multichrome,2022-03-22 01:26:36.853,593.3443475733802
101,109,Monochrome,2022-03-03 13:26:20.355,-3.74158890962417
102,110,Monochrome,2022-03-01 12:49:29.236,1421.6471488294333
103,111,Multichrome,2022-03-22 09:27:18.040,45.499999999999545
