,multi_color,PROLIFIC_PID,abs_rotation,mean_rotation_rt
0,Monochrome,1,90,1172.9417266187074
1,Monochrome,1,180,1759.1051094890554
2,Monochrome,3,90,2062.372580645161
3,Monochrome,3,180,2034.7656488549562
4,Monochrome,5,90,848.0592307692287
5,Monochrome,5,180,1050.4448818897652
6,Monochrome,8,90,1730.0396825396806
7,Monochrome,8,180,1879.9568000000068
8,Monochrome,9,90,1193.3166666666693
9,Monochrome,9,180,1235.4745762711873
10,Monochrome,13,90,1205.9322033898309
11,Monochrome,13,180,1476.3924999999958
12,Monochrome,21,90,1155.671739130435
13,Monochrome,21,180,1658.0856060606036
14,Monochrome,22,90,934.2962962962948
15,Monochrome,22,180,1362.9179104477594
16,Monochrome,23,90,670.4875000000017
17,Monochrome,23,180,638.0761904761895
18,Monochrome,28,90,927.6269841269831
19,Monochrome,28,180,940.9572580645169
20,Monochrome,29,90,1586.6568181818227
21,Monochrome,29,180,2541.9909090909064
22,Monochrome,31,90,661.9915254237279
23,Monochrome,31,180,742.6718181818176
24,Monochrome,34,90,2434.05669291339
25,Monochrome,34,180,3425.176377952751
26,Monochrome,36,90,1127.3697478991555
27,Monochrome,36,180,1045.8838709677414
28,Monochrome,37,90,696.3666666666677
29,Monochrome,37,180,742.8743119266037
30,Monochrome,38,90,838.389344262294
31,Monochrome,38,180,754.5114035087743
32,Monochrome,40,90,1497.7801470588242
33,Monochrome,40,180,1327.3877697841692
34,Monochrome,41,90,721.3762962962946
35,Monochrome,41,180,891.0356060606027
36,Monochrome,42,90,1882.046825396828
37,Monochrome,42,180,3148.743859649116
38,Monochrome,43,90,2686.371126760558
39,Monochrome,43,180,3408.4264705882483
40,Monochrome,48,90,1009.0508333333318
41,Monochrome,48,180,1065.9433628318627
42,Monochrome,49,90,236.3733333333332
43,Monochrome,49,180,236.365942028985
44,Monochrome,50,90,1189.0769784172674
45,Monochrome,50,180,2534.099166666676
46,Monochrome,52,90,221.6022058823537
47,Monochrome,52,180,231.73550724637633
48,Monochrome,53,90,1326.0341085271305
49,Monochrome,53,180,1270.9512396694236
50,Monochrome,55,90,1209.177777777776
51,Monochrome,55,180,2360.2684615384615
52,Monochrome,56,90,967.7354838709691
53,Monochrome,56,180,1103.553719008264
54,Monochrome,57,90,1514.3683760683718
55,Monochrome,57,180,1652.4793650793706
56,Monochrome,60,90,960.5467625899294
57,Monochrome,60,180,933.2536231884037
58,Monochrome,61,90,1360.3176923076946
59,Monochrome,61,180,791.3145985401466
60,Monochrome,65,90,1224.6869230769228
61,Monochrome,65,180,1493.9710743801634
62,Monochrome,66,90,1274.44166666667
63,Monochrome,66,180,1740.384328358203
64,Monochrome,67,90,2026.8243478260904
65,Monochrome,67,180,2645.735483870962
66,Monochrome,68,90,368.0186274509812
67,Monochrome,68,180,368.89908256880824
68,Monochrome,69,90,1007.2058394160579
69,Monochrome,69,180,1711.7296874999956
70,Monochrome,72,90,1706.9460317460257
71,Monochrome,72,180,1774.2017241379344
72,Monochrome,73,90,2149.96074074074
73,Monochrome,73,180,3185.3928571428532
74,Monochrome,75,90,933.5503759398523
75,Monochrome,75,180,942.1574803149589
76,Monochrome,79,90,1837.2290909090937
77,Monochrome,79,180,1902.357943925229
78,Monochrome,80,90,891.1346153846132
79,Monochrome,80,180,984.7289062500026
80,Monochrome,83,90,948.3200000000036
