,PROLIFIC_PID,multi_color,date,Delta
0,0,Multichrome,2022-09-18 15:10:08.218,63.60514705882406
1,1,Monochrome,2022-09-18 16:55:09.094,602.8374457880498
2,2,Multichrome,2022-03-03 13:33:38.762,325.3880853994492
3,3,Monochrome,2022-03-03 13:26:13.730,20.117027417026748
4,4,Multichrome,2022-09-18 20:00:22.777,159.8859745762711
5,5,Monochrome,2022-09-18 21:09:39.902,200.62821468725906
6,6,Multichrome,2022-03-03 13:33:24.991,400.088047647891
7,7,Multichrome,2022-03-22 01:28:34.745,666.6807630186581
8,8,Monochrome,2022-03-22 10:49:36.992,198.38494094488192
9,9,Monochrome,2022-03-22 07:27:37.438,33.4083333333333
10,10,Multichrome,2022-03-03 13:56:22.892,-14.556379498363754
11,11,Multichrome,2022-03-03 13:27:17.704,461.62530091478106
12,12,Multichrome,2022-03-03 12:32:43.286,450.8211264436775
13,13,Monochrome,2022-03-03 13:29:33.328,242.9554098360652
14,14,Multichrome,2022-03-22 09:25:47.467,1064.6021834422284
15,15,Multichrome,2022-03-03 13:28:34.126,902.0138686131386
16,16,Multichrome,2022-03-03 14:27:17.970,-113.53925951086921
17,17,Monochrome,2022-09-18 15:36:46.406,145.3595208928823
18,18,Multichrome,2022-03-03 12:28:23.706,710.8236694097453
19,19,Multichrome,2022-03-03 13:30:25.956,-7.261413520632118
20,20,Multichrome,2022-03-03 14:21:21.231,28.202547080341446
21,21,Monochrome,2022-09-18 20:05:59.895,534.3922314578012
22,22,Monochrome,2022-09-18 19:39:17.023,412.60170674109054
23,23,Monochrome,2022-03-22 08:25:42.732,-34.9836538461542
24,24,Multichrome,2022-03-03 13:50:00.697,1059.9850542344584
25,25,Multichrome,2022-03-22 08:25:54.787,826.1056166056169
26,26,Multichrome,2022-03-03 14:08:25.548,94.17926267281155
27,27,Multichrome,2022-03-03 14:09:26.639,127.52536231884028
28,28,Monochrome,2022-09-18 14:25:28.330,14.295987596899067
29,29,Monochrome,2022-09-18 15:27:25.659,955.2112781954913
30,30,Multichrome,2022-03-03 13:26:41.771,-27.880623277507425
31,31,Monochrome,2022-09-18 21:32:03.974,87.0709303190298
32,32,Multichrome,2022-03-03 12:26:29.272,34.034456860230875
33,33,Multichrome,2022-03-03 14:43:39.269,349.2657476756194
34,34,Monochrome,2022-03-01 10:47:04.566,1031.030999394307
