,multi_color,PROLIFIC_PID,abs_rotation,mean_rotation_rt
0,Monochrome,1,90,1171.6524822695055
1,Monochrome,1,180,1774.489928057557
2,Monochrome,3,90,2055.592063492067
3,Monochrome,3,180,2075.7090909090994
4,Monochrome,5,90,848.6198473282428
5,Monochrome,5,180,1049.248062015508
6,Monochrome,8,90,1739.5275590551244
7,Monochrome,8,180,1937.9125000000026
8,Monochrome,9,90,1193.3166666666693
9,Monochrome,9,180,1226.725000000003
10,Monochrome,13,90,1223.8200000000043
11,Monochrome,13,180,1466.7754098360624
12,Monochrome,17,90,2358.443010752688
13,Monochrome,17,180,2503.8025316455737
14,Monochrome,21,90,1155.671739130435
15,Monochrome,21,180,1690.0639705882352
16,Monochrome,22,90,955.8321167883225
17,Monochrome,22,180,1368.4338235294076
18,Monochrome,23,90,673.0961538461551
19,Monochrome,23,180,638.1125000000017
20,Monochrome,28,90,933.1496124030992
21,Monochrome,28,180,947.445600000003
22,Monochrome,29,90,1582.2894736842134
23,Monochrome,29,180,2537.5007518797047
24,Monochrome,31,90,683.9025210084036
25,Monochrome,31,180,770.9734513274318
26,Monochrome,34,90,2434.05669291339
27,Monochrome,34,180,3465.0876923077017
28,Monochrome,36,90,1127.435245901638
29,Monochrome,36,180,1046.5887999999986
30,Monochrome,37,90,697.8587719298233
31,Monochrome,37,180,742.8743119266037
32,Monochrome,38,90,847.281451612901
33,Monochrome,38,180,752.4304347826101
34,Monochrome,40,90,1501.151079136695
35,Monochrome,40,180,1331.7328571428582
36,Monochrome,41,90,754.3153284671538
37,Monochrome,41,180,884.9134328358197
38,Monochrome,42,90,1875.4624999999967
39,Monochrome,42,180,3148.743859649116
40,Monochrome,43,90,2689.032867132862
41,Monochrome,43,180,3435.025899280573
42,Monochrome,48,90,1071.6943089430886
43,Monochrome,48,180,1071.8631578947363
44,Monochrome,49,90,236.32481751824855
45,Monochrome,49,180,237.6158273381297
46,Monochrome,50,90,1190.0326241134787
47,Monochrome,50,180,2542.2545454545384
48,Monochrome,52,90,235.33868613138742
49,Monochrome,52,180,231.04326241134822
50,Monochrome,53,90,1320.8399999999972
51,Monochrome,53,180,1263.839344262293
52,Monochrome,54,90,680.8122448979593
53,Monochrome,54,180,668.2362500000014
54,Monochrome,55,90,1202.1291970802968
55,Monochrome,55,180,2383.3480916030467
56,Monochrome,56,90,964.8031746031767
57,Monochrome,56,180,1103.553719008264
58,Monochrome,57,90,1501.0310924369771
59,Monochrome,57,180,1652.4793650793706
60,Monochrome,60,90,960.7801418439744
61,Monochrome,60,180,947.6714285714269
62,Monochrome,61,90,1367.2375939849596
63,Monochrome,61,180,790.1594202898558
64,Monochrome,65,90,1231.6748091603035
